"year","income_group","mean_grocery_spend","mean_dining_spend","mean_school_lunch_spend","mean_total_food_spend","n_households"
2017,"$20,000 to $29,999",65.8117070357555,574.730680507497,1259.22952710496,1899.77191464821,3468
2017,"$30,000 to $39,999",72.4866497139224,550.083598219962,1267.26700572155,1889.83725365544,3146
2017,"$40,000 to $49,999",63.0634165675783,558.624256837099,1268.70749108205,1890.39516448672,2523
2017,"$5,000 to $9,999",65.6485655737705,564.785860655738,1254.97643442623,1885.41086065574,976
2017,"$50,000 to $69,999",62.7586375888263,539.972800784122,1230.48395001225,1833.2153883852,4081
2017,"$70,000 and over",62.2392792168414,571.076236680239,1261.89534782985,1895.21086372693,11543
2017,"Under $5,000",61.3428571428571,580.205405405405,1261.79845559846,1903.34671814672,1295
2017,NA,63.7189923743727,563.799973929479,1259.87199374308,1887.39096004693,61372
2018,"$10,000 to $14,999",67.7687296416938,546.820846905537,1191.59283387622,1806.18241042345,307
2018,"$15,000 to $19,999",66.3249299719888,556.957983193277,1271.21008403361,1894.49299719888,357
2018,"$20,000 to $29,999",69.356204379562,569.459064327485,1281.87153284672,1919.85547445255,685
2018,"$30,000 to $39,999",73.7043010752688,529.008960573477,1215.01612903226,1817.729390681,558
2018,"$40,000 to $49,999",74.4814814814815,647.444444444444,1330.44249512671,2052.36842105263,513
2018,"$5,000 to $9,999",69.6473988439306,500.947976878613,1233.80924855491,1804.40462427746,173
2018,"$50,000 to $69,999",66.0495978552279,532.938337801609,1272.44101876676,1871.42895442359,746
2018,"$70,000 and over",68.6811023622047,592.984251968504,1302.58267716535,1964.24803149606,2286
2018,"Under $5,000",67.9347079037801,596.639175257732,1346.90034364261,2011.47422680412,291
2018,NA,69.3005940301812,596.513627865788,1295.5557318378,1961.33327183953,81309
2019,NA,68.5859932677573,594.472042123463,1309.67973385375,1972.72219675438,76349
2020,NA,83.2407910553442,518.506563452195,1427.15553835768,2028.76354744694,60731
2021,NA,82.2866302618849,606.302970167123,1500.57740983607,2188.87301639344,61000
2022,NA,86.5146124090452,712.568796864349,1658.20954961403,2457.25653085221,58683
2023,NA,404.972105245427,274.828805375502,375.849676724138,730.250883889466,113702
2024,NA,1113.46671980869,188.922767448948,79.551867219917,428.169094788174,32810
NA,NA,NA,NA,NA,0,7
